Entity,Code,Year,"Meat, total | 00002943 || Food available for consumption | 0645pc || kilograms per year per capita"
Seychelles,SYC,2021,70.57939
Sierra Leone,SLE,2021,11.679997
Slovakia,SVK,2021,63.459988
Slovenia,SVN,2021,61.230053
Small Island Developing States (FAO),,2021,46.69
Solomon Islands,SLB,2021,17.429876
South Africa,ZAF,2021,71.56999
South America,,2021,84.549614
South America (FAO),,2021,84.55
South Korea,KOR,2021,81.48001
South Sudan,SSD,2021,20.189985
South-eastern Asia (FAO),,2021,29.19
Southern Africa (FAO),,2021,66.26
Southern Asia (FAO),,2021,8.54
Southern Europe (FAO),,2021,83.06
Spain,ESP,2021,100.31999
Sri Lanka,LKA,2021,11.990001
Sudan,SDN,2021,19.919998
Suriname,SUR,2021,60.7901
Sweden,SWE,2021,66.93003
Switzerland,CHE,2021,68.00001
Syria,SYR,2021,17.760002
Taiwan,TWN,2021,89.800026
Tajikistan,TJK,2021,32.369938
Tanzania,TZA,2021,12.089999
Thailand,THA,2021,25.99
Togo,TGO,2021,9.420001
Trinidad and Tobago,TTO,2021,58.49958
Tunisia,TUN,2021,27.810001
Turkey,TUR,2021,43.029995
Turkmenistan,TKM,2021,57.35
Uganda,UGA,2021,9.38
Ukraine,UKR,2021,48.499996
United Arab Emirates,ARE,2021,84.33002
United Kingdom,GBR,2021,82.27
United States,USA,2021,126.83
Upper-middle-income countries,,2021,60.47159
Uruguay,URY,2021,62.76991
Uzbekistan,UZB,2021,42.259995
Vanuatu,VUT,2021,43.429184
Venezuela,VEN,2021,35.600006
Vietnam,VNM,2021,52.590004
Western Africa (FAO),,2021,11.75
Western Asia (FAO),,2021,40.66
Western Europe (FAO),,2021,77.59
World,OWID_WRL,2021,42.84643
Yemen,YEM,2021,17.789999
Zambia,ZMB,2021,18.329998
Zimbabwe,ZWE,2021,55.969982
