Entity,Code,Year,"Meat, poultry | 00002734 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, beef | 00002731 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, sheep and goat | 00002732 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, pig | 00002733 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, Other | 00002735 || Food available for consumption | 0645pc || kilograms per year per capita",Fish and seafood | 00002960 || Food available for consumption | 0645pc || kilograms per year per capita
European Union (27),,2021,22.91475,14.081534,1.3595926,40.861084,0.9398172,23.443672
European Union (27) (FAO),,2021,22.92,14.08,1.36,40.86,0.94,23.44
Fiji,FJI,2021,32.279823,3.5699806,5.349971,3.2099826,0,29.149841
Finland,FIN,2021,22.800034,19.230028,0.44000065,30.820045,0.75000113,31.860048
France,FRA,2021,26.569998,23.009998,2.3999999,33.479996,0.5899999,33.609997
French Polynesia,PYF,2021,45.848793,29.369228,3.2199154,12.689666,1.3199654,46.07879
Gabon,GAB,2021,38.449917,4.3199906,0.5999987,9.33998,13.629971,31.109934
Gambia,GMB,2021,11.189991,4.069997,0.4799996,0.21999982,0.7599994,23.04998
Georgia,GEO,2021,18.599981,6.3399935,1.0899988,11.309988,0.42999956,10.639989
Germany,DEU,2021,17.629997,14.039998,0.70999986,43.25999,0.9499998,13.149998
Ghana,GHA,2021,13.669998,1.5899998,1.7899997,1.5199997,2.3299997,23.599997
Greece,GRC,2021,26.089981,14.50999,7.579994,26.599981,2.0099986,21.669985
Grenada,GRD,2021,55.933716,6.3492866,1.3198518,14.978317,0.02999663,30.53657
Guatemala,GTM,2021,25.379993,11.199998,0.12999997,5.209999,0.16999997,3.4299994
Guinea,GIN,2021,5.7600007,7.7200003,2.0600002,0.63000005,0.48000002,10.930001
Guinea-Bissau,GNB,2021,3.0199852,3.6599822,1.0899947,6.919966,0,1.1299945
Guyana,GUY,2021,61.709923,3.5399957,1.0499986,5.8899927,0.21999973,25.42997
